task	source	baseline	precision	recall	f1
b_to_c	BTEC	pysbd	0.8571428571428571	1.0	0.9230769230769231
b_to_c	Curriculum	pysbd	0.8721238938053097	0.8756108396268325	0.8738638882731101
b_to_c	Diwan	pysbd	0.9982698961937716	1.0	0.9991341991341991
b_to_c	Green Library	pysbd	0.7638888888888888	0.7142857142857143	0.738255033557047
b_to_c	Hadith	pysbd	0.9803921568627451	0.25773195876288657	0.40816326530612246
b_to_c	Hanging Odes	pysbd	0.9846153846153847	1.0	0.9922480620155039
b_to_c	Hayy ibn Yaqdhan	pysbd	0.9411764705882353	0.43243243243243246	0.5925925925925926
b_to_c	Hindawi	pysbd	0.8349217154526889	0.7839565356343879	0.8086368880830723
b_to_c	Kalima	pysbd	0.8539823008849557	0.8616071428571429	0.8577777777777778
b_to_c	Majed	pysbd	0.5737527114967462	0.880932556203164	0.6949096880131362
b_to_c	New Testament	pysbd	0.43874172185430466	0.5686695278969958	0.4953271028037383
b_to_c	Old Testament	pysbd	0.5535714285714286	0.8140043763676149	0.6589902568644819
b_to_c	QALB	pysbd	0.8661417322834646	0.7746478873239436	0.8178438661710037
b_to_c	Quran	pysbd	1.0	0.017716535433070866	0.03481624758220503
b_to_c	Sara	pysbd	0.6658031088082902	0.7603550295857988	0.7099447513812155
b_to_c	Spacetoon Songs	pysbd	0.875	1.0	0.9333333333333333
b_to_c	Suleiman Al Issa	pysbd	0.9523809523809523	1.0	0.975609756097561
b_to_c	WikiNews	pysbd	0.9823008849557522	0.6981132075471698	0.8161764705882353
b_to_c	Wikipedia	pysbd	0.8174603174603174	0.8273092369477911	0.8223552894211577
b_to_c	ZAEBUC	pysbd	0.9885057471264368	0.5212121212121212	0.6825396825396826
b_to_c	chatGPT	pysbd	1.0	1.0	1.0
b_to_c	ALC	sentencizer	0.9428571428571428	0.5409836065573771	0.6875
b_to_c	Arabian Nights	sentencizer	1.0	0.15436241610738255	0.26744186046511625
b_to_c	ArabicMMLU	sentencizer	0.6296296296296297	0.21341463414634146	0.31877846236271096
b_to_c	BTEC	sentencizer	0.8596491228070176	1.0	0.9245283018867925
b_to_c	Curriculum	sentencizer	0.9878563885955649	0.8311861394935585	0.9027744270205066
b_to_c	Diwan	sentencizer	1.0	1.0	1.0
b_to_c	Green Library	sentencizer	1.0	0.7142857142857143	0.8333333333333334
b_to_c	Hadith	sentencizer	1.0	0.28350515463917525	0.44176706827309237
b_to_c	Hanging Odes	sentencizer	0.9846153846153847	1.0	0.9922480620155039
b_to_c	Hayy ibn Yaqdhan	sentencizer	1.0	0.43783783783783786	0.6090225563909775
b_to_c	Hindawi	sentencizer	0.9710252600297177	0.8354106743368488	0.8981274695069575
b_to_c	Kalima	sentencizer	0.949748743718593	0.84375	0.8936170212765957
b_to_c	Majed	sentencizer	0.8619281045751634	0.8784346378018318	0.8701030927835052
b_to_c	New Testament	sentencizer	0.697841726618705	0.8326180257510729	0.7592954990215264
b_to_c	Old Testament	sentencizer	0.6955810147299509	0.9299781181619255	0.795880149812734
b_to_c	QALB	sentencizer	0.9826086956521739	0.795774647887324	0.8793774319066148
b_to_c	Quran	sentencizer	1.0	0.017716535433070866	0.03481624758220503
b_to_c	Sara	sentencizer	0.9807692307692307	0.7544378698224852	0.8528428093645485
b_to_c	Spacetoon Songs	sentencizer	0.9032258064516129	1.0	0.9491525423728814
b_to_c	Suleiman Al Issa	sentencizer	0.9900990099009901	1.0	0.9950248756218906
b_to_c	WikiNews	sentencizer	0.9915254237288136	0.7358490566037735	0.8447653429602888
b_to_c	Wikipedia	sentencizer	0.9540229885057471	0.8333333333333334	0.8896034297963559
b_to_c	ZAEBUC	sentencizer	1.0	0.5272727272727272	0.6904761904761905
b_to_c	chatGPT	sentencizer	1.0	1.0	1.0
