	doc_name	era	doc_word_count	new_split	keep_doc	split
1031	العصر-العباسي_عبدالصمد-العبدي_يا-من-تركت-بصخرة_001	العصر-العباسي	27	train	True	train
1039	العصر-العثماني_الهبل_بوداد-آل-محمد-وولائهم_001	العصر-العثماني	37	train	True	train
1100	العصر-المملوكي_صفي-الدين-الحلي_ولي-صاحب-كهواء-الخريف_001	العصر-المملوكي	32	train	True	train
1113	العصر-الايوبي_الرصافي-البلنسي_وذي-حنين-يكاد-شجوا_001	العصر-الايوبي	33	train	True	train
1114	العصر-العباسي_ابو-نواس_سهوت-وغرني-أملي_001	العصر-العباسي	24	train	True	test
1121	العصر-الايوبي_ابن-سناء-الملك_يا-قاعداً-معنا-ويزعم_001	العصر-الايوبي	31	train	True	train
1136	العصر-الأندلسي_الأرجاني_جاءت-بقد-كالقضيب-غدا_001	العصر-الأندلسي	34	train	True	train
1139	العصر-العباسي_خالد-الكاتب_يا-حسب-نفسي-وكفي_001	العصر-العباسي	24	train	True	test
1166	العصر-المملوكي_السراج-الوراق_قنطرة-قد-بنيت_001	العصر-المملوكي	29	dev	True	train
1167	العصر-الأندلسي_يوسف-بن-هارون-الرمادي_وترى-الأحرف-في-أسطارها_001	العصر-الأندلسي	32	train	True	train
1182	العصر-العباسي_خالد-الكاتب_مستقيل-بالهوى-مستخبر_001	العصر-العباسي	28	test	True	train
1231	المخضرمون_الأعشى_ألم-تروا-للعجب-العجيب_001	المخضرمون	31	dev	True	train
1248	العصر-الأندلسي_الميكالي_أهلا-بظبي-حماه-قصر_001	العصر-الأندلسي	33	dev	True	train
1335	العصر-العثماني_الامير-منجك-باشا_عصرت-ماء-حسنه-الأيام_001	العصر-العثماني	37	train	True	train
1347	العصر-المملوكي_بهاء-الدين-زهير_ما-الذي-تطلب-مني_001	العصر-المملوكي	28	train	True	train
1359	العصر-العباسي_السري-الرفاء_غيم-مدامعه-سجام_001	العصر-العباسي	25	train	True	test
1381	العصر-العباسي_خالد-الكاتب_وسن-بطرفك-أم-فتور_001	العصر-العباسي	31	train	True	train
1385	العصر-العباسي_الراضي-بالله_نيران-هجري-ليس-تخمد_001	العصر-العباسي	30	train	True	train
1402	العصر-الاموي_عبد-الرحمن-بن-حسان_من-كان-يأكل-من-فريسة-صيده_001	العصر-الاموي	34	train	True	train
1413	العصر-المملوكي_بهاء-الدين-زهير_أيها-الحامل-هما_001	العصر-المملوكي	29	train	True	train
1423	العصر-العباسي_خالد-الكاتب_أيعذل-لا-يعذر_001	العصر-العباسي	29	train	True	train
1432	العصر-الاموي_عبيد-الله-بن-الرقيات_وما-تصنع-بالسر_001	العصر-الاموي	30	train	True	test
1455	العصر-العباسي_الوزير-المهلبي_ظبي-يرق-الماء-في_001	العصر-العباسي	28	test	True	train
1477	العصر-العباسي_الوأواء-الدمشقي_نشوان-من-خمر-الصبا_001	العصر-العباسي	29	train	True	train
1485	العصر-المملوكي_السراج-الوراق_ولقد-نزهتهم-فو_001	العصر-المملوكي	32	train	True	train
1519	العصر-العباسي_أبو-فراس-الحمداني_الورد-في-وجنتيه_001	العصر-العباسي	26	train	True	dev
1540	العصر-الأندلسي_ابن-حمديس_حسان-تدير-بسحر-الهوى_001	العصر-الأندلسي	32	train	True	train
1551	العصر-العثماني_ابن-الجزري_ما-كان-بعدك-غير-ضر-مسني_001	العصر-العثماني	37	train	True	train
1589	العصر-العباسي_الوزير-المهلبي_يا-صروف-الدهر-حسبي_001	العصر-العباسي	27	dev	True	dev
1592	العصر-العباسي_العباس-بن-الأحنف_ولقد-دفنت-هواكم_001	العصر-العباسي	27	test	True	train
1621	العصر-الاموي_الوليد-بن-يزيد_خف-من-دار-جيرتي_001	العصر-الاموي	35	train	True	train
1641	العصر-الاموي_عبيدة-اليشكري_ومسوم-للموت-يركب-ردعه_001	العصر-الاموي	33	train	True	train
1709	العصر-العباسي_علية-بنت-المهدي_أما-والله-لو-جوزيت_001	العصر-العباسي	30	test	True	train
1716	العصر-العباسي_الخبز-أرزي_مخجل-البدر-في-الفلك_001	العصر-العباسي	28	train	True	train
1735	العصر-الأندلسي_ظافر-الحداد_جاء-الكتاب-فكان-لي_001	العصر-الأندلسي	35	train	True	train
1748	العصر-الأندلسي_الأرجاني_ولم-يك-في-من-عيب_001	العصر-الأندلسي	29	train	True	dev
1772	العصر-العثماني_الأمير-الصنعاني_ستكون-أطيب-ليلة_001	العصر-العثماني	30	train	True	train
1779	العصر-العباسي_أبو-طالب-المأموني_لنا-من-الأسطال-سطل_001	العصر-العباسي	29	train	True	train
1806	العصر-المملوكي_بهاء-الدين-زهير_جاء-الرسول-مبشري_001	العصر-المملوكي	29	train	True	train
1822	العصر-العباسي_ابن-حجاج_يا-صاحب-البيت-الذي_001	العصر-العباسي	30	test	True	train
1832	العصر-العثماني_ابن-الجزري_أخي-وسمي-الذي-لا-يزال_001	العصر-العثماني	31	train	True	test
1841	العصر-العباسي_ديك-الجن_في-خده-خال-كأن_001	العصر-العباسي	30	train	True	train
1852	العصر-العباسي_أبو-المخفف_دفتر-فيه-أسامي_001	العصر-العباسي	26	train	True	dev
1856	العصر-المملوكي_صفي-الدين-الحلي_نديمي-قم-إلى-اللهو_001	العصر-المملوكي	25	test	True	dev
1873	العصر-الاموي_توبة-الخفاجي_كأن-القلب-ليلة-قيل-يغدى_001	العصر-الاموي	35	dev	True	train
1901	العصر-الأندلسي_يوسف-بن-هارون-الرمادي_أتغرب-بين-عيني-واغتماضي_001	العصر-الأندلسي	34	train	True	train
1931	العصر-الأندلسي_ابن-أبي-الخصال_لا-تحرجن-فإنما_001	العصر-الأندلسي	35	test	True	train
1932	العصر-العباسي_العباس-بن-الأحنف_وإذا-عصاني-الدمع-في_001	العصر-العباسي	29	train	True	train
1949	العصر-الاموي_نصيب-بن-رباح_اني-اراني-لسحيم-قائلا_001	العصر-الاموي	34	train	True	train
1960	العصر-الأندلسي_ظافر-الحداد_جاء-بلوز-أخضر_001	العصر-الأندلسي	26	train	True	test
1963	العصر-العثماني_ابن-زاكور_دار-تدور-بها-السعود_001	العصر-العثماني	34	dev	True	train
1980	العصر-العثماني_عبدالله-الشبراوي_آل-بيت-النبي-اني-محب_001	العصر-العثماني	36	train	True	train
1996	العصر-الاسلامي_عائشة-بنت-أبي-بكر_قام-مثل-الغصن-المياد_001	العصر-الاسلامي	29	dev	True	dev
2046	العصر-الايوبي_سبط-ابن-التعاويذي_وروضة-غناء-باكرتها_001	العصر-الايوبي	31	train	True	train
2121	العصر-المملوكي_ابن-نباته-المصري_فريد-حسن-تجافى_001	العصر-المملوكي	26	train	True	test
2139	العصر-الاموي_العجير-السلولي_ولقد-وضعتك-غير-مترك_001	العصر-الاموي	33	dev	True	test
2154	العصر-الايوبي_الرصافي-البلنسي_أدرها-فالغمامة-قد-أجالت_001	العصر-الايوبي	34	train	True	train
2192	العصر-الاموي_الفرزدق_ديار-بالأجيفر-كان-فيها_001	العصر-الاموي	35	train	True	train
2216	العصر-العباسي_الأحنف-العكبري_غبن-الضرير-من-النذاله_001	العصر-العباسي	25	train	True	test
2220	العصر-المملوكي_صفي-الدين-الحلي_نفسي-الفداء-لقادم_001	العصر-المملوكي	26	train	True	test
2225	العصر-المملوكي_الشريف-العقيلي_يا-عذولي-في-اكتئابي_001	العصر-المملوكي	31	train	True	train
2240	العصر-الأندلسي_ابن-قلاقس_وا-بأبي-من-لم-يدع_001	العصر-الأندلسي	34	dev	True	train
2256	العصر-الايوبي_ابن-عنين_كم-طعنة-أنهرها-حده_001	العصر-الايوبي	33	train	True	train
2258	المخضرمون_الأعشى_يا-قومنا-إن-تردوا-النكازا_001	المخضرمون	28	test	True	dev
2262	العصر-المملوكي_الشريف-العقيلي_باكر-صبوحك-باصطباحك_001	العصر-المملوكي	30	train	True	train
2282	العصر-العباسي_خالد-الكاتب_كل-من-ملك-عبدا_001	العصر-العباسي	30	dev	True	train
2289	العصر-العباسي_أبو-طالب-المأموني_وبيت-لبنات-الجو_001	العصر-العباسي	24	dev	True	test
2329	العصر-الايوبي_أسامة-بن-منقذ_قالوا-أتسلو-عن-حبيبك_001	العصر-الايوبي	33	test	True	train
2390	العصر-العباسي_السري-الرفاء_إن-شيطانك-في-الظرف_001	العصر-العباسي	26	train	True	dev
2401	العصر-الايوبي_القاضي-الفاضل_ما-إن-سألت-الله-في_001	العصر-الايوبي	32	train	True	train
2407	العصر-الايوبي_فتيان-الشاغوري_ما-غادة-راكبة-النسر-وقد_001	العصر-الايوبي	35	train	True	train
2414	العصر-المملوكي_تميم-الفاطمي_مالي-عجلت-إلى-دعائك_001	العصر-المملوكي	29	train	True	train
2432	العصر-الاموي_عمر-بن-أبي-ربيعة_مر-بي-سرب-ظباء_001	العصر-الاموي	23	train	True	train
2437	العصر-العباسي_عبدالصمد-العبدي_قد-هجونا-مجلس-الغيبة_001	العصر-العباسي	29	train	True	train
2459	العصر-الايوبي_أبو-بكر-بن-مغاور_قسم-الأترج-فينا_001	العصر-الايوبي	25	train	True	dev
2536	المخضرمون_عامر-بن-الطفيل_سمونا-بالجياد-لحي-ورد_001	المخضرمون	32	test	True	test
2577	العصر-الايوبي_العماد-الأصبهاني_قد-نزلنا-في-جوارِك_001	العصر-الايوبي	26	train	True	dev
2629	العصر-الايوبي_المكزون-السنجاري_أراني-فيك-ممسوسا_001	العصر-الايوبي	24	train	True	dev
2643	العصر-المملوكي_ابن-نباته-المصري_مولاي-قم-للمعالي_001	العصر-المملوكي	25	train	True	test
2675	العصر-العباسي_الأحنف-العكبري_خذ-من-الدنيا-فإن-الموت_001	العصر-العباسي	30	train	True	train
2718	العصر-العثماني_أبو-المعالي-الطالوي_مولاي-يا-رب-اليراعة_001	العصر-العثماني	35	dev	True	train
2764	العصر-الجاهلي_الحارث-بن-ظالم-المري_أتاني-عن-قيس-بني-زهير_001	العصر-الجاهلي	36	dev	True	train
2767	العصر-العثماني_أبو-بحر-الخطي_خذه-إليك-كصفحة-المرآة_001	العصر-العثماني	32	train	True	test
2796	العصر-العباسي_الأحنف-العكبري_إنما-أنت-بحسك_001	العصر-العباسي	28	train	True	train
2805	العصر-الجاهلي_أبو-حمضة-اليهودي_أشط-بجيرانك-المنزلُ_001	العصر-الجاهلي	31	test	True	dev
2897	العصر-الايوبي_ابن-لبال-الشريشي_ودعتها-ومدامعي_001	العصر-الايوبي	32	train	True	train
2906	العصر-الجاهلي_عنترة-بن-شداد_إني-أنا-عنترة-الهجين_001	العصر-الجاهلي	35	train	True	train
2925	العصر-العباسي_ابو-نواس_اشرب-فديت-علانيه_001	العصر-العباسي	26	dev	True	dev
2956	العصر-العباسي_الحلاج_يا-عوضي-من-عوضي_001	العصر-العباسي	26	train	True	dev
2963	العصر-المملوكي_تميم-الفاطمي_تركنا-النعيم-لأهل-النعيم_001	العصر-المملوكي	32	train	True	train
2996	العصر-الأندلسي_ابن-خفاجه_تجردت-عن-غسق_001	العصر-الأندلسي	24	train	True	test
3060	العصر-الايوبي_الحيص-بيص_أشكو-إليك-نهضة-سريعه_001	العصر-الايوبي	31	train	True	test
3068	العصر-العباسي_المتنبي_وجدت-المدامة-غلابة_001	العصر-العباسي	31	train	True	train
3095	المخضرمون_حميد-بن-ثور-الهلالي_فلما-لوين-على-معصم_001	المخضرمون	29	train	True	dev
3114	العصر-العباسي_خالد-الكاتب_كل-حب-غير-حبيك_001	العصر-العباسي	26	train	True	dev
3125	العصر-العباسي_السري-الرفاء_إصبر-على-نوب-الليالي_001	العصر-العباسي	29	train	True	train
3129	العصر-العباسي_عبد-المحسن-الصوري_غصن-من-البان-ذوى_001	العصر-العباسي	29	test	True	train
3136	العصر-الاموي_نصيب-بن-رباح_أقول-وليلتي-تزداد-طولا_001	العصر-الاموي	35	train	True	train
3142	العصر-المملوكي_ابن-سهل-الأندلسي_في-ملاح-لك-شتى_001	العصر-المملوكي	28	train	True	train
3170	العصر-العباسي_الوزير-المهلبي_ورد-الكتاب-مبشرا_001	العصر-العباسي	30	train	True	train
3176	العصر-العباسي_خالد-الكاتب_أترى-العاذل-اشتفى_001	العصر-العباسي	30	dev	True	train
3192	العصر-الاموي_الوليد-بن-يزيد_عرفت-المنزل-الخالي_001	العصر-الاموي	33	dev	True	train
3210	العصر-الايوبي_أسامة-بن-منقذ_قمر-إذا-عاتبته_001	العصر-الايوبي	28	train	True	dev
3213	العصر-المملوكي_الشريف-العقيلي_وقائل-لي-قولا_001	العصر-المملوكي	27	train	True	train
3241	العصر-العباسي_ابن-الرومي_أحب-كل-غادة_001	العصر-العباسي	20	train	True	test
3244	العصر-الايوبي_الموفق-التلعفري_هذا-الجليس-الذي-بليت-به_001	العصر-الايوبي	35	test	True	train
3253	العصر-العباسي_الشريف-الرضي_أكبح-النفس-إن-جمحت_001	العصر-العباسي	30	train	True	train
3255	العصر-الاموي_عبيد-الله-بن-الرقيات_حييت-عنا-أم-ذي-الودع_001	العصر-الاموي	30	train	True	train
3256	العصر-الاموي_الكميت-بن-زيد_فهذا-لهذا-ولما-رأيت_001	العصر-الاموي	33	train	True	train
3269	العصر-الأندلسي_أبو-الحسن-الششتري_طعل-النهار_001	العصر-الأندلسي	21	train	True	test
3313	العصر-المملوكي_صفي-الدين-الحلي_رعى-الله-ليلتنا-بالحمى_001	العصر-المملوكي	29	train	True	train
3316	العصر-الايوبي_الموفق-التلعفري_لنا-جليس-بارد-معجب_001	العصر-الايوبي	34	dev	True	train
3326	العصر-العباسي_كشاجم_أنا-مشغوف-بجار_001	العصر-العباسي	30	train	True	train
3367	العصر-المملوكي_صفي-الدين-الحلي_إن-الفقير-وإن-نمت_001	العصر-المملوكي	31	train	True	train
3405	العصر-العباسي_ابن-الرومي_لئام-كالخنازير_001	العصر-العباسي	31	train	True	train
3408	العصر-الاموي_الفرزدق_طرقت-نوار-معرسي-دوية_001	العصر-الاموي	35	train	True	train
3411	العصر-العثماني_ابن-النقيب_معاهد-السفح-سقاك-الحيا_001	العصر-العثماني	35	train	True	train
3466	العصر-العباسي_أبو-الشمقمق_أهل-جود-ونائل-ومنال_001	العصر-العباسي	28	train	True	train
3488	العصر-العباسي_أبو-فراس-الحمداني_قلبي-يحن-إليه_001	العصر-العباسي	25	train	True	test
3493	العصر-العثماني_العُشاري_حططت-بباب-عزك-يا-ملاذي_001	العصر-العثماني	36	train	True	train
3498	العصر-العباسي_السري-الرفاء_أرق-جفني-حبش-ونوب_001	العصر-العباسي	30	train	True	train
3510	العصر-الأندلسي_ابن-قلاقس_تاه-بخال-خده_001	العصر-الأندلسي	34	train	True	train
3520	العصر-المملوكي_الشريف-العقيلي_الزهر-ينشر-ما-طوى_001	العصر-المملوكي	32	train	True	train
3541	العصر-العباسي_ابن-الزيات_أما-من-حكم-يعدي_001	العصر-العباسي	30	train	True	train
3543	العصر-العباسي_أبو-هلال-العسكري_رخيم-فاتر-اللحظ_001	العصر-العباسي	26	train	True	dev
3550	العصر-الأندلسي_المعتمد-بن-عباد_تبدلت-من-عز-ظل-البنود_001	العصر-الأندلسي	29	dev	True	dev
3558	العصر-العباسي_ابو-العتاهية_يا-رب-ساكن-حفرة_001	العصر-العباسي	25	train	True	dev
3661	العصر-العباسي_الأحنف-العكبري_أكرمت-سنوري-وأحببته_001	العصر-العباسي	27	test	True	dev
3745	العصر-الاموي_الراعي-النميري_يمسي-ضجيع-خريدة-ومضاجعي_001	العصر-الاموي	35	train	True	train
3764	العصر-المملوكي_بهاء-الدين-زهير_أيها-الزائرون-أه_001	العصر-المملوكي	24	train	True	dev
3801	العصر-المملوكي_ابن-الوردي_قلت-إذا-غررتني_001	العصر-المملوكي	29	train	True	train
3811	العصر-المملوكي_الشريف-العقيلي_يا-رب-ظمآن-الوشاح_001	العصر-المملوكي	31	train	True	train
3812	العصر-الأندلسي_ابن-زيدون_سأقنع-منك-بلحظ-البصر_001	العصر-الأندلسي	31	test	True	train
3826	العصر-العباسي_ابن-الرومي_ليس-كالسكر-دواء-لغناء-كالدواء_001	العصر-العباسي	26	train	True	dev
3833	العصر-العباسي_البحتري_لأموتن-بغمى_001	العصر-العباسي	27	train	True	train
3856	العصر-الايوبي_محيي-الدين-بن-عربي_العبد-سيده-عليه-ثناؤه_001	العصر-الايوبي	35	train	True	train
3902	العصر-العباسي_ابن-الرومي_نوك-وغي-وعي_001	العصر-العباسي	28	train	True	train
3912	العصر-العباسي_الصنوبري_وبركة-منظرها-يطرب_001	العصر-العباسي	30	train	True	train
3929	العصر-الايوبي_ابن-سناء-الملك_لا-تجر-دمعا-على-سعاد_001	العصر-الايوبي	28	train	True	dev
3953	العصر-الايوبي_المكزون-السنجاري_ألحزم-زين-للفتى_001	العصر-الايوبي	23	train	True	dev
3959	العصر-العباسي_الأحنف-العكبري_ومن-العجائب-للبي_001	العصر-العباسي	30	test	True	train
3966	العصر-الايوبي_العماد-الأصبهاني_ليس-في-الدنيا-جميعا_001	العصر-الايوبي	34	test	True	train
3971	العصر-المملوكي_الشريف-العقيلي_ركائب-آلائه-تسرح_001	العصر-المملوكي	29	train	True	train
3976	العصر-العباسي_الصنوبري_نرجسة-مضعفة_001	العصر-العباسي	22	train	True	test
3979	العصر-العثماني_أبو-المعالي-الطالوي_ديوان-شيخ-المعره_001	العصر-العثماني	33	train	True	train
3997	العصر-العثماني_احمد-الغزال_محل-ود-وعهد_001	العصر-العثماني	36	train	True	train
4000	العصر-العثماني_ابن-النقيب_ومراحم-المولى-توافي_001	العصر-العثماني	27	train	True	dev
4034	العصر-العباسي_خالد-الكاتب_ويسقى-من-روى-عيني_001	العصر-العباسي	29	test	True	train
4035	المخضرمون_حميد-بن-ثور-الهلالي_إذا-نادى-قرينته-حمام_001	المخضرمون	33	dev	True	train
4040	العصر-العباسي_البحتري_خلته-لما-تبدى_001	العصر-العباسي	25	train	True	dev
4043	العصر-الايوبي_ابن-الساعاتي_يا-سادة-كنت-أرجو_001	العصر-الايوبي	25	test	True	dev
4062	العصر-الجاهلي_الربيع-بن-أبي-الحقيق_قليل-غناؤهم-في-الهياج_001	العصر-الجاهلي	35	test	True	train
4101	العصر-العثماني_ابن-النقيب_يا-حسن-إبريق-أتاك-معصفرا_001	العصر-العثماني	35	train	True	train
4106	العصر-العباسي_ابن-الرومي_يا-أبا-العباس-قرض_001	العصر-العباسي	27	train	True	dev
4135	العصر-الأندلسي_ظافر-الحداد_طل-وافتخر-أيها-العنان_001	العصر-الأندلسي	34	test	True	train
4177	العصر-العباسي_ابن-الرومي_أيها-القائل-بالجسم_001	العصر-العباسي	28	train	True	train
4180	العصر-العثماني_أحمد-الكيواني_حسن-الرياض-بساقي_001	العصر-العثماني	28	train	True	dev
4198	العصر-العثماني_نيقولاوس-الصائغ_وأعمدة-لبيت-الله-سبع_001	العصر-العثماني	29	train	True	dev
4219	العصر-المملوكي_تميم-الفاطمي_بتنا-عناقا-ولثما_001	العصر-المملوكي	31	train	True	train
4281	العصر-العباسي_الصاحب-بن-عباد_قد-استجوب-في-الحكم_001	العصر-العباسي	29	train	True	train
4305	العصر-الأندلسي_ابن-قلاقس_ترددنا-الى-الدار_001	العصر-الأندلسي	28	train	True	dev
4330	العصر-العثماني_ابن-الطيب-الشرقي_كعبتنا-قد-أصبحت_001	العصر-العثماني	30	train	True	train
4344	العصر-الأندلسي_أبو-الحسن-الششتري_أقسمت-لا-يثني-لواء_001	العصر-الأندلسي	27	test	True	test
4346	العصر-العباسي_خالد-الكاتب_لست-أنساه-فأذكره_001	العصر-العباسي	30	test	True	train
4360	العصر-الأندلسي_ابن-أبي-البشر_ولقد-وجدت-الصبر-بعدكم_001	العصر-الأندلسي	35	train	True	train
4364	العصر-الأندلسي_ابن-قلاقس_والله-يكفي-أن-أردد_001	العصر-الأندلسي	30	train	True	dev
4367	العصر-المملوكي_بهاء-الدين-زهير_يا-غائبا-أهدى-محاسنه_001	العصر-المملوكي	26	train	True	test
4381	العصر-المملوكي_صفي-الدين-الحلي_شرف-الله-قدر-من_001	العصر-المملوكي	27	train	True	train
4385	العصر-الاموي_عبد-الله-بن-معاوية_شربت-طبرزذا-بغريض-مزن_001	العصر-الاموي	35	dev	True	train
4398	العصر-الاموي_جرير_ألست-اللئيم-وفرخ-اللئيم_001	العصر-الاموي	33	train	True	train
4455	العصر-الايوبي_بلبل-الغرام-الحاجري_بين-المزرد-والمورد_001	العصر-الايوبي	31	test	True	test
4456	العصر-المملوكي_الشريف-العقيلي_يومنا-يوم-مجون_001	العصر-المملوكي	24	dev	True	dev
4457	العصر-المملوكي_الشريف-العقيلي_الأرض-تجلى-بزهر_001	العصر-المملوكي	22	dev	True	dev
4482	العصر-العباسي_الببغاء_وقوراء-كالفلك-المستدير_001	العصر-العباسي	26	test	True	dev
4501	العصر-المملوكي_بهاء-الدين-زهير_أرحني-منك-حتى-لا_001	العصر-المملوكي	31	test	True	train
4517	العصر-العباسي_أحمد-بن-طيفور_ورقيقة-الحجرات-بادية_001	العصر-العباسي	26	test	True	dev
4528	العصر-العثماني_عبد-الغني-النابلسي_يا-مثمرا-قبل-ينبت_001	العصر-العثماني	33	dev	True	train
4537	العصر-العثماني_الأمير-الصنعاني_لا-عذر-للزيدي-في-تركه_001	العصر-العثماني	33	train	True	train
4539	العصر-الايوبي_ابن-الساعاتي_نزلنا-على-شاعر-البلدتين_001	العصر-الايوبي	32	test	True	train
4545	العصر-الاموي_الأخطل_ألا-بان-بالرهن-الغداة-الحبائب_001	العصر-الاموي	36	train	True	train
4561	العصر-العباسي_العباس-بن-الأحنف_إنما-أبكي-لأني_001	العصر-العباسي	27	dev	True	train
4592	العصر-الاموي_عبد-الله-بن-همام-السلولي_أبلغ-أمير-المؤمنين-رسالة_001	العصر-الاموي	36	train	True	train
4635	العصر-العباسي_ابن-الرومي_يا-راميا-غرض-القطيعة_001	العصر-العباسي	28	test	True	train
4639	العصر-المملوكي_بهاء-الدين-زهير_لا-تسلني-كيف-حالي_001	العصر-المملوكي	27	train	True	train
4652	العصر-العباسي_الأحنف-العكبري_للدهر-إدبار-وإقبال_001	العصر-العباسي	31	train	True	train
4731	العصر-العباسي_الحمدوي_لأبي-نوح-رغيف_001	العصر-العباسي	23	train	True	test
4742	العصر-الأندلسي_أبو-عامر-بن-مسلمة_أيا-شقيقي-إخاء_001	العصر-الأندلسي	23	train	True	test
4753	العصر-العباسي_سلم-الخاسر_وفتى-خلا-من-ماله_001	العصر-العباسي	31	train	True	train
4770	العصر-المملوكي_الشريف-العقيلي_جدت-والعيش-ما-حل_001	العصر-المملوكي	23	train	True	dev
4785	العصر-الايوبي_فتيان-الشاغوري_نحن-في-جيل-لئام_001	العصر-الايوبي	27	train	True	dev
4802	العصر-الجاهلي_حاتم-الطائي_لعمرك-ما-أضاع-بنو-زياد_001	العصر-الجاهلي	33	train	True	train
4829	العصر-العباسي_أبو-عثمان-الخالدي_وورد-بستان-قحابية-رتبة_001	العصر-العباسي	31	train	True	train
4852	العصر-العثماني_نقولا-النقاش_نعمى-من-الخاقان-خاقان-الملا_001	العصر-العثماني	37	test	True	train
